2026-04-01 11:02:24 [info     ] cgu_collector_init             num_keys=7 rpm_per_key=400 total_rpm=2800
2026-04-01 11:02:26 [info     ] backfill_inicio                total=730555 uf=todas
2026-04-01 11:02:27 [warning  ] rate_limit_or_auth_retry       codigo=158156264252020NS004984 retry=1 status=401
2026-04-01 11:02:27 [warning  ] rate_limit_or_auth_retry       codigo=180006000012020NE800493 retry=1 status=401
2026-04-01 11:02:27 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NS101522 retry=1 status=401
2026-04-01 11:02:27 [warning  ] rate_limit_or_auth_retry       codigo=200143000012022OB800106 retry=1 status=401
2026-04-01 11:02:27 [warning  ] rate_limit_or_auth_retry       codigo=180073000012021NS001596 retry=1 status=401
2026-04-01 11:02:28 [warning  ] rate_limit_or_auth_retry       codigo=200143000012020NE800020 retry=1 status=401
2026-04-01 11:02:28 [warning  ] rate_limit_or_auth_retry       codigo=110594000012021NS001991 retry=1 status=401
2026-04-01 11:02:28 [warning  ] rate_limit_or_auth_retry       codigo=130141000012020NS005234 retry=1 status=401
2026-04-01 11:02:29 [warning  ] rate_limit_or_auth_retry       codigo=240267000012020GR800010 retry=1 status=401
2026-04-01 11:02:30 [warning  ] rate_limit_or_auth_retry       codigo=240267000012020DF800249 retry=1 status=401
2026-04-01 11:02:30 [warning  ] rate_limit_or_auth_retry       codigo=240267000012020GR800085 retry=1 status=401
2026-04-01 11:02:31 [warning  ] rate_limit_or_auth_retry       codigo=240267000012020NS000851 retry=1 status=401
2026-04-01 11:02:31 [warning  ] rate_limit_or_auth_retry       codigo=240267000012020GR800169 retry=1 status=401
2026-04-01 11:02:31 [warning  ] rate_limit_or_auth_retry       codigo=240267000012020DF800505 retry=1 status=401
2026-04-01 11:02:31 [warning  ] rate_limit_or_auth_retry       codigo=130141000012020NS005234 retry=2 status=401
2026-04-01 11:02:32 [warning  ] rate_limit_or_auth_retry       codigo=158156264252020NE800496 retry=1 status=401
2026-04-01 11:02:32 [warning  ] rate_limit_or_auth_retry       codigo=158156264252020NE800498 retry=1 status=401
2026-04-01 11:02:33 [warning  ] rate_limit_or_auth_retry       codigo=158156264252020NS004979 retry=1 status=401
2026-04-01 11:02:33 [warning  ] rate_limit_or_auth_retry       codigo=158156264252021NS000226 retry=1 status=401
2026-04-01 11:02:34 [warning  ] rate_limit_or_auth_retry       codigo=158156264252021NS000733 retry=1 status=401
2026-04-01 11:02:34 [warning  ] rate_limit_or_auth_retry       codigo=158156264252021NS001716 retry=1 status=401
2026-04-01 11:02:34 [warning  ] rate_limit_or_auth_retry       codigo=158156264252021OB801423 retry=1 status=401
2026-04-01 11:02:35 [warning  ] rate_limit_or_auth_retry       codigo=158156264252020NE800496 retry=2 status=401
2026-04-01 11:02:35 [warning  ] rate_limit_or_auth_retry       codigo=158156264252020NE800498 retry=2 status=401
2026-04-01 11:02:36 [warning  ] rate_limit_or_auth_retry       codigo=158156264252021OB803329 retry=1 status=401
2026-04-01 11:02:36 [warning  ] rate_limit_or_auth_retry       codigo=158156264252021NS000226 retry=2 status=401
2026-04-01 11:02:37 [warning  ] rate_limit_or_auth_retry       codigo=154044152612020NE800312 retry=1 status=401
2026-04-01 11:02:37 [warning  ] rate_limit_or_auth_retry       codigo=154044152612020OB803350 retry=1 status=401
2026-04-01 11:02:37 [warning  ] rate_limit_or_auth_retry       codigo=154044152612022NS006086 retry=1 status=401
2026-04-01 11:02:38 [warning  ] rate_limit_or_auth_retry       codigo=153173152532022NS027539 retry=1 status=401
2026-04-01 11:02:38 [warning  ] rate_limit_or_auth_retry       codigo=200143000012022OB800170 retry=1 status=401
2026-04-01 11:02:39 [warning  ] rate_limit_or_auth_retry       codigo=110594000012024NS001947 retry=1 status=401
2026-04-01 11:02:40 [warning  ] rate_limit_or_auth_retry       codigo=154044152612020NE800312 retry=2 status=401
2026-04-01 11:02:40 [warning  ] rate_limit_or_auth_retry       codigo=240267000012020GR800071 retry=1 status=401
2026-04-01 11:02:41 [warning  ] rate_limit_or_auth_retry       codigo=240267000012020DF800400 retry=1 status=401
2026-04-01 11:02:41 [warning  ] rate_limit_or_auth_retry       codigo=200143000012022OB800170 retry=2 status=401
2026-04-01 11:02:42 [warning  ] rate_limit_or_auth_retry       codigo=154044152612020NE800324 retry=1 status=401
2026-04-01 11:02:42 [warning  ] rate_limit_or_auth_retry       codigo=154044152612020OB802008 retry=1 status=401
2026-04-01 11:02:42 [warning  ] rate_limit_or_auth_retry       codigo=154044152612021NS000074 retry=1 status=401
2026-04-01 11:02:43 [warning  ] rate_limit_or_auth_retry       codigo=110594000012020NS003722 retry=1 status=401
2026-04-01 11:02:44 [warning  ] rate_limit_or_auth_retry       codigo=530001000012020NS005207 retry=1 status=401
2026-04-01 11:02:44 [warning  ] rate_limit_or_auth_retry       codigo=130141000012020NE801082 retry=1 status=401
2026-04-01 11:02:45 [warning  ] rate_limit_or_auth_retry       codigo=130141000012023OB800865 retry=1 status=401
2026-04-01 11:02:46 [warning  ] rate_limit_or_auth_retry       codigo=154044152612021NS000074 retry=2 status=401
2026-04-01 11:02:46 [warning  ] rate_limit_or_auth_retry       codigo=135002132032021NS000344 retry=1 status=401
2026-04-01 11:02:47 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE811148 retry=1 status=401
2026-04-01 11:02:47 [warning  ] rate_limit_or_auth_retry       codigo=788310000012020NE000570 retry=1 status=401
2026-04-01 11:02:48 [warning  ] rate_limit_or_auth_retry       codigo=788310000012021OB800390 retry=1 status=401
2026-04-01 11:02:48 [warning  ] rate_limit_or_auth_retry       codigo=550009000012020NS012727 retry=1 status=401
2026-04-01 11:02:49 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE824010 retry=1 status=401
2026-04-01 11:02:50 [warning  ] rate_limit_or_auth_retry       codigo=255000362112020NE800734 retry=1 status=401
2026-04-01 11:02:50 [warning  ] rate_limit_or_auth_retry       codigo=200143000012022OB800105 retry=1 status=401
2026-04-01 11:02:50 [warning  ] rate_limit_or_auth_retry       codigo=788310000012020NE000570 retry=2 status=401
2026-04-01 11:02:51 [warning  ] rate_limit_or_auth_retry       codigo=788310000012021OB800390 retry=2 status=401
2026-04-01 11:02:51 [warning  ] rate_limit_or_auth_retry       codigo=550009000012020NS012727 retry=2 status=401
2026-04-01 11:02:52 [warning  ] rate_limit_or_auth_retry       codigo=550015000012020NS001469 retry=1 status=401
2026-04-01 11:02:52 [warning  ] rate_limit_or_auth_retry       codigo=153173152532020NS060505 retry=1 status=401
2026-04-01 11:02:53 [warning  ] rate_limit_or_auth_retry       codigo=120641000012020NE801405 retry=1 status=401
2026-04-01 11:02:54 [warning  ] rate_limit_or_auth_retry       codigo=120641000012021OB801908 retry=1 status=401
2026-04-01 11:02:55 [warning  ] rate_limit_or_auth_retry       codigo=130141000012020NS004791 retry=1 status=401
2026-04-01 11:02:56 [warning  ] rate_limit_or_auth_retry       codigo=130141000012023OB800798 retry=1 status=401
