id,cod_autor,nome_autor,partido,uf,ano,tipo_emenda,funcao,funcao_nome,subfuncao,subfuncao_nome,valor_empenhado,valor_pago,descricao
1,220665,Clarissa Tércio,PP,PE,2022,Individual,10,Saude,181,Policiamento,2179115.14,810078.7,Emenda individual de Clarissa Tércio (PP/PE) para Saude - Policiamento em 2022
2,160604,Pedro Uczai,PT,SC,2023,Individual,12,Educacao,122,Administracao Geral,1496059.07,692469.83,Emenda individual de Pedro Uczai (PT/SC) para Educacao - Administracao Geral em 2023
3,220576,Alfredo Gaspar,UNIÃO,AL,2024,Individual,16,Habitacao,362,Ensino Medio,6793214.79,3360830.9,Emenda individual de Alfredo Gaspar (UNIÃO/AL) para Habitacao - Ensino Medio em 2024
4,121948,Adriano do Baldy,PP,GO,2021,Bancada,04,Administracao,511,Saneamento Basico Rural,5169732.7,2113571.03,Emenda bancada de Adriano do Baldy (PP/GO) para Administracao - Saneamento Basico Rural em 2021
5,178910,Joaquim Passarinho,PL,PA,2023,Individual,12,Educacao,302,Assistencia Hospitalar,12727666.06,9197116.14,Emenda individual de Joaquim Passarinho (PL/PA) para Educacao - Assistencia Hospitalar em 2023
6,204423,André Ferreira,PL,PE,2024,Individual,11,Trabalho,512,Saneamento Basico Urbano,13842201.04,4916198.04,Emenda individual de André Ferreira (PL/PE) para Trabalho - Saneamento Basico Urbano em 2024
7,204531,Guilherme Derrite,PL,SP,2024,Comissao,19,Ciencia e Tecnologia,244,Assistencia Comunitaria,5488361.89,2385253.13,Emenda comissao de Guilherme Derrite (PL/SP) para Ciencia e Tecnologia - Assistencia Comunitaria em 2024
8,109429,Benes Leocádio,UNIÃO,RN,2021,Bancada,10,Saude,244,Assistencia Comunitaria,14779800.66,13282937.99,Emenda bancada de Benes Leocádio (UNIÃO/RN) para Saude - Assistencia Comunitaria em 2021
9,206018,Célia Xakriabá,PSOL,MG,2023,Bancada,18,Gestao Ambiental,364,Ensino Superior,5535999.47,3095324.99,Emenda bancada de Célia Xakriabá (PSOL/MG) para Gestao Ambiental - Ensino Superior em 2023
10,74075,Elcione Barbalho,MDB,PA,2020,Bancada,15,Urbanismo,364,Ensino Superior,2649965.86,2147502.54,Emenda bancada de Elcione Barbalho (MDB/PA) para Urbanismo - Ensino Superior em 2020
11,220619,Delegado Ramagem,PL,RJ,2022,Comissao,27,Desporto e Lazer,451,Infraestrutura Urbana,9635996.42,6647534.94,Emenda comissao de Delegado Ramagem (PL/RJ) para Desporto e Lazer - Infraestrutura Urbana em 2022
12,220697,Jadyel Alencar,REPUBLICANOS,PI,2020,Individual,19,Ciencia e Tecnologia,511,Saneamento Basico Rural,578293.63,301185.23,Emenda individual de Jadyel Alencar (REPUBLICANOS/PI) para Ciencia e Tecnologia - Saneamento Basico Rural em 2020
13,204473,General Girão,PL,RN,2024,Comissao,12,Educacao,362,Ensino Medio,4788700.42,3633699.71,Emenda comissao de General Girão (PL/RN) para Educacao - Ensino Medio em 2024
14,138286,Luciano Alves,PSD,PR,2021,Individual,15,Urbanismo,512,Saneamento Basico Urbano,3774749.86,2615741.96,Emenda individual de Luciano Alves (PSD/PR) para Urbanismo - Saneamento Basico Urbano em 2021
15,204494,Fred Costa,PATRIOTA,MG,2023,Comissao,11,Trabalho,122,Administracao Geral,6051067.53,2744307.57,Emenda comissao de Fred Costa (PATRIOTA/MG) para Trabalho - Administracao Geral em 2023
16,220582,Daniel Barbosa,PP,AL,2020,Bancada,16,Habitacao,512,Saneamento Basico Urbano,12930433.35,5262543.15,Emenda bancada de Daniel Barbosa (PP/AL) para Habitacao - Saneamento Basico Urbano em 2020
17,204512,Delegado Marcelo Freitas,UNIÃO,MG,2023,Individual,04,Administracao,244,Assistencia Comunitaria,5833032.94,4182995.66,Emenda individual de Delegado Marcelo Freitas (UNIÃO/MG) para Administracao - Assistencia Comunitaria em 2023
18,220609,Maurício Carvalho,UNIÃO,RO,2024,Comissao,16,Habitacao,364,Ensino Superior,271067.23,218075.02,Emenda comissao de Maurício Carvalho (UNIÃO/RO) para Habitacao - Ensino Superior em 2024
19,220630,Pedro Aihara,PATRIOTA,MG,2022,Individual,04,Administracao,364,Ensino Superior,6578002.23,4062617.56,Emenda individual de Pedro Aihara (PATRIOTA/MG) para Administracao - Ensino Superior em 2022
20,204494,Fred Costa,PATRIOTA,MG,2021,Individual,16,Habitacao,511,Saneamento Basico Rural,1685521.26,1243426.12,Emenda individual de Fred Costa (PATRIOTA/MG) para Habitacao - Saneamento Basico Rural em 2021
21,73692,Osmar Terra,PL,RS,2021,Individual,20,Agricultura,362,Ensino Medio,2507080.63,2425474.71,Emenda individual de Osmar Terra (PL/RS) para Agricultura - Ensino Medio em 2021
22,233592,Paulo Lemos,PSOL,AP,2022,Individual,10,Saude,122,Administracao Geral,1766829.11,978976.22,Emenda individual de Paulo Lemos (PSOL/AP) para Saude - Administracao Geral em 2022
23,204539,Hercílio Coelho Diniz,MDB,MG,2021,Comissao,08,Assistencia Social,301,Atencao Basica,14209546.73,5114831.73,Emenda comissao de Hercílio Coelho Diniz (MDB/MG) para Assistencia Social - Atencao Basica em 2021
24,229225,Missionária Michele Collins,PP,PE,2024,Bancada,19,Ciencia e Tecnologia,302,Assistencia Hospitalar,2013032.82,1273641.16,Emenda bancada de Missionária Michele Collins (PP/PE) para Ciencia e Tecnologia - Assistencia Hospitalar em 2024
25,73486,Pompeo de Mattos,PDT,RS,2024,Comissao,06,Seguranca Publica,364,Ensino Superior,6404755.31,2870987.57,Emenda comissao de Pompeo de Mattos (PDT/RS) para Seguranca Publica - Ensino Superior em 2024
26,229112,Pedro Jr,PL,TO,2021,Bancada,04,Administracao,181,Policiamento,6044985.27,4655732.02,Emenda bancada de Pedro Jr (PL/TO) para Administracao - Policiamento em 2021
27,220677,Keniston Braga,MDB,PA,2023,Individual,27,Desporto e Lazer,782,Transporte Rodoviario,3447990.32,1850398.12,Emenda individual de Keniston Braga (MDB/PA) para Desporto e Lazer - Transporte Rodoviario em 2023
28,204390,Professor Alcides,PL,GO,2021,Individual,08,Assistencia Social,122,Administracao Geral,10646830.1,3632822.33,Emenda individual de Professor Alcides (PL/GO) para Assistencia Social - Administracao Geral em 2021
29,220612,Bebeto,PP,RJ,2022,Individual,10,Saude,452,Servicos Urbanos,3646269.05,2801371.79,Emenda individual de Bebeto (PP/RJ) para Saude - Servicos Urbanos em 2022
30,234406,Elmano Férrer,PP,PI,2024,Individual,16,Habitacao,361,Ensino Fundamental,3720658.91,2348037.37,Emenda individual de Elmano Férrer (PP/PI) para Habitacao - Ensino Fundamental em 2024
31,229082,Lucyana Genésio,PDT,MA,2020,Bancada,08,Assistencia Social,302,Assistencia Hospitalar,5379033.74,3161643.23,Emenda bancada de Lucyana Genésio (PDT/MA) para Assistencia Social - Assistencia Hospitalar em 2020
32,73433,Arlindo Chinaglia,PT,SP,2020,Individual,15,Urbanismo,244,Assistencia Comunitaria,10950382.47,9421870.68,Emenda individual de Arlindo Chinaglia (PT/SP) para Urbanismo - Assistencia Comunitaria em 2020
33,204476,Chiquinho Brazão,UNIÃO,RJ,2021,Individual,08,Assistencia Social,362,Ensino Medio,2188716.23,937737.14,Emenda individual de Chiquinho Brazão (UNIÃO/RJ) para Assistencia Social - Ensino Medio em 2021
34,178858,Mário Negromonte Jr.,PP,BA,2020,Individual,08,Assistencia Social,452,Servicos Urbanos,12934101.66,8862804.97,Emenda individual de Mário Negromonte Jr. (PP/BA) para Assistencia Social - Servicos Urbanos em 2020
35,160553,Antonio Brito,PSD,BA,2020,Comissao,15,Urbanismo,782,Transporte Rodoviario,13902868.05,12430373.78,Emenda comissao de Antonio Brito (PSD/BA) para Urbanismo - Transporte Rodoviario em 2020
