codigoEmenda,ano,tipoEmenda,autor,nomeAutor,numeroEmenda,localidadeDoGasto,funcao,subfuncao,valorEmpenhado,valorLiquidado,valorPago,valorRestoInscrito,valorRestoCancelado,valorRestoPago
202471050005,2024,Emenda de Bancada,BANCADA DO AMAPA,BANCADA DO AMAPA,0005,AMAPÁ (UF),Urbanismo,Assistência comunitária,"2.550,00","2.550,00","0,00","0,00","0,00","0,00"
202414680005,2024,Emenda Individual - Transferências com Finalidade Definida,CHICO ALENCAR,CHICO ALENCAR,0005,RIO DE JANEIRO (UF),Educação,Educação básica,"3.612,60","3.612,60","0,00","0,00","0,00","0,00"
202439910010,2024,Emenda Individual - Transferências com Finalidade Definida,FRED COSTA,FRED COSTA,0010,MINAS GERAIS (UF),Urbanismo,Assistência comunitária,"3.637,09","0,00","0,00","0,00","0,00","0,00"
202428850020,2024,Emenda Individual - Transferências com Finalidade Definida,HUMBERTO COSTA,HUMBERTO COSTA,0020,PERNAMBUCO (UF),Educação,Ensino profissional,"3.860,00","0,00","0,00","0,00","0,00","0,00"
202440330009,2024,Emenda Individual - Transferências com Finalidade Definida,LUCAS REDECKER,LUCAS REDECKER,0009,Nacional,Defesa nacional,Defesa naval,"4.700,00","4.700,00","0,00","0,00","0,00","0,00"
202443660008,2024,Emenda Individual - Transferências com Finalidade Definida,DUDA SALABERT,DUDA SALABERT,0008,MINAS GERAIS (UF),Urbanismo,Assistência comunitária,"6.061,82","0,00","0,00","0,00","0,00","0,00"
202442700024,2024,Emenda Individual - Transferências com Finalidade Definida,EFRAIM FILHO,EFRAIM FILHO,0024,JOÃO PESSOA - PB,Educação,Ensino superior,"6.100,00","6.100,00","0,00","0,00","0,00","0,00"
202433120014,2024,Emenda Individual - Transferências com Finalidade Definida,HELDER SALOMAO,HELDER SALOMAO,0014,Nacional,Organização agrária,Reforma agrária,"6.520,00","5.756,03","4.486,03","0,00","0,00","0,00"
202443340015,2024,Emenda Individual - Transferências com Finalidade Definida,DANDARA,DANDARA,0015,MINAS GERAIS (UF),Urbanismo,Assistência comunitária,"7.274,18","0,00","0,00","0,00","0,00","0,00"
202443110019,2024,Emenda Individual - Transferências com Finalidade Definida,BANDEIRA DE MELLO,BANDEIRA DE MELLO,0019,Nacional,Relações exteriores,Administração geral,"7.400,00","0,00","0,00","0,00","0,00","0,00"
